,As of,Rank,Title,Type,Days In Top 10
0,2020-04-01,1,"Tiger King: Murder, Mayhem …",TV Show,9
1,2020-04-01,2,Ozark,TV Show,5
2,2020-04-01,3,All American,TV Show,9
5,2020-04-01,6,Car Masters: Rust to Riches,TV Show,4
6,2020-04-01,7,Unorthodox,TV Show,2
7,2020-04-01,8,Love is Blind,TV Show,9
10,2020-04-02,1,"Tiger King: Murder, Mayhem …",TV Show,10
11,2020-04-02,2,Ozark,TV Show,6
12,2020-04-02,3,All American,TV Show,10
13,2020-04-02,4,Nailed It!,TV Show,1
14,2020-04-02,5,How to Fix a Drug Scandal,TV Show,1
17,2020-04-02,8,Unorthodox,TV Show,3
19,2020-04-02,10,Car Masters: Rust to Riches,TV Show,5
20,2020-04-03,1,"Tiger King: Murder, Mayhem …",TV Show,11
21,2020-04-03,2,Ozark,TV Show,7
22,2020-04-03,3,All American,TV Show,11
23,2020-04-03,4,How to Fix a Drug Scandal,TV Show,2
24,2020-04-03,5,Nailed It!,TV Show,2
26,2020-04-03,7,Unorthodox,TV Show,4
30,2020-04-04,1,"Tiger King: Murder, Mayhem …",TV Show,12
31,2020-04-04,2,Ozark,TV Show,8
32,2020-04-04,3,Money Heist,TV Show,1
33,2020-04-04,4,All American,TV Show,12
35,2020-04-04,6,How to Fix a Drug Scandal,TV Show,3
37,2020-04-04,8,Nailed It!,TV Show,3
38,2020-04-04,9,Unorthodox,TV Show,5
40,2020-04-05,1,"Tiger King: Murder, Mayhem …",TV Show,13
41,2020-04-05,2,Ozark,TV Show,9
43,2020-04-05,4,Money Heist,TV Show,2
44,2020-04-05,5,All American,TV Show,13
45,2020-04-05,6,How to Fix a Drug Scandal,TV Show,4
46,2020-04-05,7,Nailed It!,TV Show,4
49,2020-04-05,10,Unorthodox,TV Show,6
50,2020-04-06,1,"Tiger King: Murder, Mayhem …",TV Show,14
51,2020-04-06,2,Ozark,TV Show,10
54,2020-04-06,5,Money Heist,TV Show,3
55,2020-04-06,6,All American,TV Show,14
56,2020-04-06,7,How to Fix a Drug Scandal,TV Show,5
57,2020-04-06,8,Nailed It!,TV Show,5
60,2020-04-07,1,"Tiger King: Murder, Mayhem …",TV Show,15
61,2020-04-07,2,Ozark,TV Show,11
64,2020-04-07,5,Money Heist,TV Show,4
65,2020-04-07,6,All American,TV Show,15
66,2020-04-07,7,The Big Show Show,TV Show,1
67,2020-04-07,8,Nailed It!,TV Show,6
68,2020-04-07,9,How to Fix a Drug Scandal,TV Show,6
69,2020-04-07,10,Legacies,TV Show,1
70,2020-04-08,1,"Tiger King: Murder, Mayhem …",TV Show,16
71,2020-04-08,2,Ozark,TV Show,12
73,2020-04-08,4,The Big Show Show,TV Show,2
75,2020-04-08,6,Money Heist,TV Show,5
76,2020-04-08,7,All American,TV Show,16
77,2020-04-08,8,Legacies,TV Show,2
78,2020-04-08,9,Nailed It!,TV Show,7
80,2020-04-09,1,"Tiger King: Murder, Mayhem …",TV Show,17
81,2020-04-09,2,Ozark,TV Show,13
82,2020-04-09,3,The Big Show Show,TV Show,3
85,2020-04-09,6,Money Heist,TV Show,6
86,2020-04-09,7,All American,TV Show,17
87,2020-04-09,8,Legacies,TV Show,3
88,2020-04-09,9,Nailed It!,TV Show,8
90,2020-04-10,1,"Tiger King: Murder, Mayhem …",TV Show,18
91,2020-04-10,2,Ozark,TV Show,14
92,2020-04-10,3,The Big Show Show,TV Show,4
94,2020-04-10,5,Money Heist,TV Show,7
95,2020-04-10,6,All American,TV Show,18
97,2020-04-10,8,Legacies,TV Show,4
98,2020-04-10,9,Nailed It!,TV Show,9
99,2020-04-10,10,Community,TV Show,1
100,2020-04-11,1,"Tiger King: Murder, Mayhem …",TV Show,19
101,2020-04-11,2,Ozark,TV Show,15
103,2020-04-11,4,The Big Show Show,TV Show,5
104,2020-04-11,5,Money Heist,TV Show,8
106,2020-04-11,7,All American,TV Show,19
108,2020-04-11,9,Legacies,TV Show,5
109,2020-04-11,10,Nailed It!,TV Show,10
110,2020-04-12,1,"Tiger King: Murder, Mayhem …",TV Show,20
111,2020-04-12,2,Ozark,TV Show,16
114,2020-04-12,5,The Big Show Show,TV Show,6
115,2020-04-12,6,Money Heist,TV Show,9
117,2020-04-12,8,All American,TV Show,20
118,2020-04-12,9,Legacies,TV Show,6
119,2020-04-12,10,Community,TV Show,2
120,2020-04-13,1,"Tiger King: Murder, Mayhem …",TV Show,21
122,2020-04-13,3,Ozark,TV Show,17
125,2020-04-13,6,Money Heist,TV Show,10
127,2020-04-13,8,The Big Show Show,TV Show,7
128,2020-04-13,9,All American,TV Show,21
130,2020-04-14,1,"Tiger King: Murder, Mayhem …",TV Show,22
131,2020-04-14,2,Ozark,TV Show,18
133,2020-04-14,4,Money Heist,TV Show,11
134,2020-04-14,5,All American,TV Show,22
136,2020-04-14,7,The Big Show Show,TV Show,8
139,2020-04-14,10,Legacies,TV Show,7
140,2020-04-15,1,"Tiger King: Murder, Mayhem …",TV Show,23
141,2020-04-15,2,Ozark,TV Show,19
144,2020-04-15,5,Money Heist,TV Show,12
145,2020-04-15,6,All American,TV Show,23
146,2020-04-15,7,The Big Show Show,TV Show,9
150,2020-04-16,1,"Tiger King: Murder, Mayhem …",TV Show,24
151,2020-04-16,2,Ozark,TV Show,20
154,2020-04-16,5,The Innocence Files,TV Show,1
