,As of,Rank,Title,Type,Days In Top 10
613,2020-06-01,4,Uncut Gems,Movie,7
617,2020-06-01,8,Just Go With It,Movie,10
624,2020-06-02,5,Uncut Gems,Movie,8
627,2020-06-02,8,The Healer,Movie,1
635,2020-06-03,6,The Healer,Movie,2
636,2020-06-03,7,The Help,Movie,1
637,2020-06-03,8,Clueless,Movie,1
638,2020-06-03,9,Uncut Gems,Movie,9
645,2020-06-04,6,The Help,Movie,2
646,2020-06-04,7,The Healer,Movie,3
647,2020-06-04,8,Clueless,Movie,2
648,2020-06-04,9,Uncut Gems,Movie,10
654,2020-06-05,5,The Help,Movie,3
656,2020-06-05,7,Clueless,Movie,3
657,2020-06-05,8,The Healer,Movie,4
658,2020-06-05,9,Cloudy with a Chance of Mea…,Movie,1
664,2020-06-06,5,The Last Days of American C…,Movie,1
665,2020-06-06,6,Cloudy with a Chance of Mea…,Movie,2
668,2020-06-06,9,The Help,Movie,4
669,2020-06-06,10,Clueless,Movie,4
672,2020-06-07,3,The Last Days of American C…,Movie,2
676,2020-06-07,7,Cloudy with a Chance of Mea…,Movie,3
678,2020-06-07,9,The Help,Movie,5
682,2020-06-08,3,The Last Days of American C…,Movie,3
683,2020-06-08,4,365 Days,Movie,1
687,2020-06-08,8,Cloudy with a Chance of Mea…,Movie,4
688,2020-06-08,9,The Help,Movie,6
691,2020-06-09,2,365 Days,Movie,2
696,2020-06-09,7,The Last Days of American C…,Movie,4
697,2020-06-09,8,Cloudy with a Chance of Mea…,Movie,5
701,2020-06-10,2,365 Days,Movie,3
706,2020-06-10,7,The Last Days of American C…,Movie,5
707,2020-06-10,8,Cloudy with a Chance of Mea…,Movie,6
711,2020-06-11,2,365 Days,Movie,4
717,2020-06-11,8,Cloudy with a Chance of Mea…,Movie,7
719,2020-06-11,10,The Last Days of American C…,Movie,6
721,2020-06-12,2,365 Days,Movie,5
727,2020-06-12,8,Cloudy with a Chance of Mea…,Movie,8
730,2020-06-13,1,365 Days,Movie,6
732,2020-06-13,3,Da 5 Bloods,Movie,1
740,2020-06-14,1,Da 5 Bloods,Movie,2
741,2020-06-14,2,365 Days,Movie,7
750,2020-06-15,1,Da 5 Bloods,Movie,3
751,2020-06-15,2,365 Days,Movie,8
760,2020-06-16,1,365 Days,Movie,9
762,2020-06-16,3,Da 5 Bloods,Movie,4
770,2020-06-17,1,365 Days,Movie,10
772,2020-06-17,3,Da 5 Bloods,Movie,5
780,2020-06-18,1,365 Days,Movie,11
783,2020-06-18,4,Da 5 Bloods,Movie,6
790,2020-06-19,1,365 Days,Movie,12
796,2020-06-19,7,Da 5 Bloods,Movie,7
798,2020-06-19,9,Magnetic,Movie,1
801,2020-06-20,2,365 Days,Movie,13
804,2020-06-20,5,Feel the Beat,Movie,1
807,2020-06-20,8,Lost Bullet,Movie,1
809,2020-06-20,10,Magnetic,Movie,2
811,2020-06-21,2,365 Days,Movie,14
813,2020-06-21,4,Lost Bullet,Movie,2
814,2020-06-21,5,Feel the Beat,Movie,2
817,2020-06-21,8,Magnetic,Movie,3
818,2020-06-21,9,The Nut Job,Movie,1
821,2020-06-22,2,365 Days,Movie,15
823,2020-06-22,4,Lost Bullet,Movie,3
824,2020-06-22,5,Feel the Beat,Movie,3
825,2020-06-22,6,The Nut Job,Movie,2
827,2020-06-22,8,Baby Mama,Movie,1
829,2020-06-22,10,Magnetic,Movie,4
832,2020-06-23,3,365 Days,Movie,16
833,2020-06-23,4,The Nut Job,Movie,3
834,2020-06-23,5,Feel the Beat,Movie,4
835,2020-06-23,6,Lost Bullet,Movie,4
837,2020-06-23,8,Baby Mama,Movie,2
842,2020-06-24,3,The Nut Job,Movie,4
843,2020-06-24,4,365 Days,Movie,17
844,2020-06-24,5,Feel the Beat,Movie,5
845,2020-06-24,6,Lost Bullet,Movie,5
846,2020-06-24,7,Love,Movie,1
848,2020-06-24,9,Baby Mama,Movie,3
852,2020-06-25,3,The Nut Job,Movie,5
853,2020-06-25,4,365 Days,Movie,18
854,2020-06-25,5,Feel the Beat,Movie,6
855,2020-06-25,6,Love,Movie,2
856,2020-06-25,7,Lost Bullet,Movie,6
858,2020-06-25,9,Baby Mama,Movie,4
862,2020-06-26,3,365 Days,Movie,19
863,2020-06-26,4,The Nut Job,Movie,6
864,2020-06-26,5,Feel the Beat,Movie,7
865,2020-06-26,6,Love,Movie,3
867,2020-06-26,8,Athlete A,Movie,1
868,2020-06-26,9,Lost Bullet,Movie,7
871,2020-06-27,2,Eurovision Song Contest: Th…,Movie,1
872,2020-06-27,3,365 Days,Movie,20
874,2020-06-27,5,The Nut Job,Movie,7
875,2020-06-27,6,Athlete A,Movie,2
876,2020-06-27,7,Love,Movie,4
877,2020-06-27,8,Feel the Beat,Movie,8
880,2020-06-28,1,Eurovision Song Contest: Th…,Movie,2
882,2020-06-28,3,Athlete A,Movie,3
883,2020-06-28,4,365 Days,Movie,21
885,2020-06-28,6,The Nut Job,Movie,8
886,2020-06-28,7,Feel the Beat,Movie,9
888,2020-06-28,9,Love,Movie,5
890,2020-06-29,1,Eurovision Song Contest: Th…,Movie,3
892,2020-06-29,3,365 Days,Movie,22
893,2020-06-29,4,Athlete A,Movie,4
897,2020-06-29,8,The Nut Job,Movie,9
898,2020-06-29,9,Feel the Beat,Movie,10
899,2020-06-29,10,Love,Movie,6
