,As of,Rank,Title,Type,Days In Top 10
301,2020-05-01,2,Dangerous Lies,Movie,1
303,2020-05-01,4,Extraction,Movie,7
304,2020-05-01,5,Murder to Mercy: The Cyntoi…,Movie,2
306,2020-05-01,7,The Willoughbys,Movie,9
310,2020-05-02,1,Dangerous Lies,Movie,2
313,2020-05-02,4,Extraction,Movie,8
314,2020-05-02,5,Murder to Mercy: The Cyntoi…,Movie,3
316,2020-05-02,7,The Willoughbys,Movie,10
317,2020-05-02,8,All Day and a Night,Movie,1
320,2020-05-03,1,Dangerous Lies,Movie,3
323,2020-05-03,4,Extraction,Movie,9
324,2020-05-03,5,All Day and a Night,Movie,2
326,2020-05-03,7,Den of Thieves,Movie,1
327,2020-05-03,8,Murder to Mercy: The Cyntoi…,Movie,4
328,2020-05-03,9,The Half of It,Movie,1
330,2020-05-04,1,Dangerous Lies,Movie,4
333,2020-05-04,4,All Day and a Night,Movie,3
335,2020-05-04,6,Extraction,Movie,10
336,2020-05-04,7,Den of Thieves,Movie,2
337,2020-05-04,8,Murder to Mercy: The Cyntoi…,Movie,5
339,2020-05-04,10,The Half of It,Movie,2
341,2020-05-05,2,Dangerous Lies,Movie,5
344,2020-05-05,5,All Day and a Night,Movie,4
345,2020-05-05,6,Den of Thieves,Movie,3
346,2020-05-05,7,Extraction,Movie,11
347,2020-05-05,8,Arctic Dogs,Movie,1
349,2020-05-05,10,Murder to Mercy: The Cyntoi…,Movie,6
352,2020-05-06,3,Arctic Dogs,Movie,2
353,2020-05-06,4,Dangerous Lies,Movie,6
356,2020-05-06,7,All Day and a Night,Movie,5
357,2020-05-06,8,Den of Thieves,Movie,4
358,2020-05-06,9,Extraction,Movie,12
364,2020-05-07,5,Becoming,Movie,1
365,2020-05-07,6,Dangerous Lies,Movie,7
367,2020-05-07,8,Arctic Dogs,Movie,3
368,2020-05-07,9,Den of Thieves,Movie,5
369,2020-05-07,10,All Day and a Night,Movie,6
372,2020-05-08,3,Becoming,Movie,2
376,2020-05-08,7,Den of Thieves,Movie,6
377,2020-05-08,8,Arctic Dogs,Movie,4
378,2020-05-08,9,Dangerous Lies,Movie,8
384,2020-05-09,5,Becoming,Movie,3
385,2020-05-09,6,Sleepless,Movie,1
388,2020-05-09,9,Den of Thieves,Movie,7
392,2020-05-10,3,Sleepless,Movie,2
394,2020-05-10,5,Becoming,Movie,4
396,2020-05-10,7,Den of Thieves,Movie,8
398,2020-05-10,9,Extraction,Movie,13
402,2020-05-11,3,John Henry,Movie,1
403,2020-05-11,4,Sleepless,Movie,3
405,2020-05-11,6,Becoming,Movie,5
406,2020-05-11,7,Extraction,Movie,14
407,2020-05-11,8,Den of Thieves,Movie,9
411,2020-05-12,2,John Henry,Movie,2
413,2020-05-12,4,Sleepless,Movie,4
421,2020-05-13,2,John Henry,Movie,3
423,2020-05-13,4,Sleepless,Movie,5
424,2020-05-13,5,Have a Good Trip: Adventure…,Movie,1
429,2020-05-13,10,House at the End of the Street,Movie,1
431,2020-05-14,2,The Wrong Missy,Movie,1
433,2020-05-14,4,John Henry,Movie,4
435,2020-05-14,6,Have a Good Trip: Adventure…,Movie,2
437,2020-05-14,8,Sleepless,Movie,6
440,2020-05-15,1,The Wrong Missy,Movie,2
444,2020-05-15,5,John Henry,Movie,5
448,2020-05-15,9,Have a Good Trip: Adventure…,Movie,3
450,2020-05-16,1,The Wrong Missy,Movie,3
455,2020-05-16,6,John Henry,Movie,6
459,2020-05-16,10,Have a Good Trip: Adventure…,Movie,4
460,2020-05-17,1,The Wrong Missy,Movie,4
465,2020-05-17,6,Public Enemies,Movie,1
466,2020-05-17,7,John Henry,Movie,7
469,2020-05-17,10,Have a Good Trip: Adventure…,Movie,5
470,2020-05-18,1,The Wrong Missy,Movie,5
473,2020-05-18,4,Public Enemies,Movie,2
476,2020-05-18,7,Soul Surfer,Movie,1
478,2020-05-18,9,John Henry,Movie,8
481,2020-05-19,2,The Wrong Missy,Movie,6
484,2020-05-19,5,Soul Surfer,Movie,2
487,2020-05-19,8,Public Enemies,Movie,3
491,2020-05-20,2,The Wrong Missy,Movie,7
497,2020-05-20,8,Soul Surfer,Movie,3
498,2020-05-20,9,Public Enemies,Movie,4
504,2020-05-21,5,The Wrong Missy,Movie,8
508,2020-05-21,9,Soul Surfer,Movie,4
509,2020-05-21,10,Public Enemies,Movie,5
514,2020-05-22,5,The Wrong Missy,Movie,9
518,2020-05-22,9,Soul Surfer,Movie,5
519,2020-05-22,10,Public Enemies,Movie,6
522,2020-05-23,3,The Lovebirds,Movie,1
525,2020-05-23,6,The Wrong Missy,Movie,10
529,2020-05-23,10,Just Go With It,Movie,1
532,2020-05-24,3,The Lovebirds,Movie,2
533,2020-05-24,4,The Wrong Missy,Movie,11
534,2020-05-24,5,Just Go With It,Movie,2
542,2020-05-25,3,The Lovebirds,Movie,3
543,2020-05-25,4,The Wrong Missy,Movie,12
544,2020-05-25,5,Just Go With It,Movie,3
552,2020-05-26,3,Uncut Gems,Movie,1
553,2020-05-26,4,The Lovebirds,Movie,4
555,2020-05-26,6,Just Go With It,Movie,4
556,2020-05-26,7,The Wrong Missy,Movie,13
560,2020-05-27,1,Uncut Gems,Movie,2
564,2020-05-27,5,Just Go With It,Movie,5
567,2020-05-27,8,The Lovebirds,Movie,5
569,2020-05-27,10,The Wrong Missy,Movie,14
571,2020-05-28,2,Uncut Gems,Movie,3
577,2020-05-28,8,Just Go With It,Movie,6
579,2020-05-28,10,The Lovebirds,Movie,6
581,2020-05-29,2,Uncut Gems,Movie,4
588,2020-05-29,9,Just Go With It,Movie,7
592,2020-05-30,3,Uncut Gems,Movie,5
598,2020-05-30,9,Just Go With It,Movie,8
