,As of,Rank,Title,Type,Days In Top 10
610,2020-06-01,1,Space Force,TV Show,3
611,2020-06-01,2,Jeffrey Epstein: Filthy Rich,TV Show,5
612,2020-06-01,3,Sweet Magnolias,TV Show,13
614,2020-06-01,5,Avatar: The Last Airbender,TV Show,14
615,2020-06-01,6,Dead to Me,TV Show,24
616,2020-06-01,7,Riverdale,TV Show,18
618,2020-06-01,9,History 101,TV Show,8
619,2020-06-01,10,The Flash,TV Show,12
620,2020-06-02,1,Space Force,TV Show,4
621,2020-06-02,2,Jeffrey Epstein: Filthy Rich,TV Show,6
622,2020-06-02,3,Sweet Magnolias,TV Show,14
623,2020-06-02,4,Avatar: The Last Airbender,TV Show,15
625,2020-06-02,6,Riverdale,TV Show,19
626,2020-06-02,7,Dead to Me,TV Show,25
628,2020-06-02,9,The Flash,TV Show,13
629,2020-06-02,10,Outer Banks,TV Show,41
630,2020-06-03,1,Space Force,TV Show,5
631,2020-06-03,2,Jeffrey Epstein: Filthy Rich,TV Show,7
632,2020-06-03,3,Fuller House,TV Show,1
633,2020-06-03,4,Sweet Magnolias,TV Show,15
634,2020-06-03,5,Avatar: The Last Airbender,TV Show,16
639,2020-06-03,10,Riverdale,TV Show,20
640,2020-06-04,1,Space Force,TV Show,6
641,2020-06-04,2,Jeffrey Epstein: Filthy Rich,TV Show,8
642,2020-06-04,3,Fuller House,TV Show,2
643,2020-06-04,4,Sweet Magnolias,TV Show,16
644,2020-06-04,5,Avatar: The Last Airbender,TV Show,17
649,2020-06-04,10,Riverdale,TV Show,21
650,2020-06-05,1,Space Force,TV Show,7
651,2020-06-05,2,Jeffrey Epstein: Filthy Rich,TV Show,9
652,2020-06-05,3,Fuller House,TV Show,3
653,2020-06-05,4,Sweet Magnolias,TV Show,17
655,2020-06-05,6,Avatar: The Last Airbender,TV Show,18
659,2020-06-05,10,Riverdale,TV Show,22
660,2020-06-06,1,13 Reasons Why,TV Show,1
661,2020-06-06,2,Space Force,TV Show,8
662,2020-06-06,3,Jeffrey Epstein: Filthy Rich,TV Show,10
663,2020-06-06,4,Fuller House,TV Show,4
666,2020-06-06,7,Avatar: The Last Airbender,TV Show,19
667,2020-06-06,8,Sweet Magnolias,TV Show,18
670,2020-06-07,1,13 Reasons Why,TV Show,2
671,2020-06-07,2,Space Force,TV Show,9
673,2020-06-07,4,Jeffrey Epstein: Filthy Rich,TV Show,11
674,2020-06-07,5,Fuller House,TV Show,5
675,2020-06-07,6,Queer Eye,TV Show,1
677,2020-06-07,8,Avatar: The Last Airbender,TV Show,20
679,2020-06-07,10,Sweet Magnolias,TV Show,19
